num_client;recence;frequence;montant;seg_recence;seg_frequence;seg_montant
ID_128525;1;5;91.228;R3;F3;M2
ID_128542;2;4;103.83333333;R3;F3;M3
ID_128545;6;1;49.73;R2;F1;M1
ID_128590;5;6;140.415;R2;F3;M3
ID_128700;7;7;75.294285714;R1;F3;M2
ID_128730;1;9;121.6475;R3;F3;M3
ID_128758;5;2;81.845;R2;F2;M2
ID_128823;2;5;62.364;R3;F3;M2
ID_128858;9;4;148.1825;R1;F3;M3
ID_129081;1;4;53.375;R3;F3;M2
ID_129373;2;2;166.6;R3;F2;M3
ID_1351;3;5;79.376;R2;F3;M2
ID_145136;2;1;59.99;R3;F1;M2
ID_145163;1;3;93.393333333;R3;F2;M2
ID_145265;1;3;257.32666667;R3;F2;M3
ID_145468;5;4;25.0975;R2;F3;M1
ID_145619;3;3;112.52666667;R2;F2;M3
ID_145654;1;9;192.7;R3;F3;M3
ID_145672;9;1;59.49;R1;F1;M2
ID_145688;7;3;22.67;R1;F2;M1
ID_145731;1;5;29.234;R3;F3;M1
ID_145773;4;4;304.6825;R2;F3;M3
ID_145785;2;3;44.99;R3;F2;M1
ID_145819;2;1;12.99;R3;F1;M1
ID_145869;12;1;24.49;R1;F1;M1
ID_146001;6;1;29.6;R2;F1;M1
ID_146092;6;1;31.8;R2;F1;M1
ID_146290;4;1;119.49;R2;F1;M3
ID_146312;4;2;281.995;R2;F2;M3
ID_146331;5;10;152.59;R2;F3;M3
ID_146346;1;2;76.245;R3;F2;M2
ID_146364;3;1;288.99;R2;F1;M3
ID_146402;10;1;151;R1;F1;M3
ID_146482;4;1;23.7;R2;F1;M1
ID_146529;2;6;111.3;R3;F3;M3
ID_146656;1;8;52.23625;R3;F3;M2
ID_146753;1;5;36.774;R3;F3;M1
ID_146905;3;4;162.95;R2;F3;M3
ID_146911;3;3;116.86333333;R2;F2;M3
ID_146993;1;3;59.686666667;R3;F2;M2
ID_147254;1;3;161.16;R3;F2;M3
ID_147302;1;4;158.27;R3;F3;M3
ID_147514;6;2;76.245;R2;F2;M2
ID_147549;1;2;36.845;R3;F2;M1
ID_147614;3;4;76.055;R2;F3;M2
ID_147640;5;7;225.31;R2;F3;M3
ID_147719;4;2;63.975;R2;F2;M2
ID_147964;5;2;46.8;R2;F2;M1
ID_148150;2;1;212;R3;F1;M3
ID_148394;1;5;300.9675;R3;F3;M3
ID_148442;1;3;36.326666667;R3;F2;M1
ID_148450;3;1;66.5;R2;F1;M2
ID_148513;1;3;95.733333333;R3;F2;M2
ID_148696;2;1;179.49;R3;F1;M3
ID_148818;1;4;128.4825;R3;F3;M3
ID_148889;1;5;52.578;R3;F3;M2
ID_148992;2;1;204.99;R3;F1;M3
ID_149003;9;1;42.5;R1;F1;M1
ID_149107;1;7;60.298571429;R3;F3;M2
ID_149235;12;1;33.49;R1;F1;M1
ID_149365;1;6;88.041666667;R3;F3;M2
ID_149503;4;4;33.33;R2;F3;M1
ID_149524;4;1;16.8;R2;F1;M1
ID_149626;2;3;184.05666667;R3;F2;M3
ID_149780;4;1;67.5;R2;F1;M2
ID_149789;1;5;113.97;R3;F3;M3
ID_149833;1;4;27.4675;R3;F3;M1
ID_149927;7;1;49.1;R1;F1;M1
ID_150025;3;2;37.095;R2;F2;M1
ID_150032;6;1;325.49;R2;F1;M3
ID_150197;9;2;594.99;R1;F2;M3
ID_150260;1;3;77.756666667;R3;F2;M2
ID_150443;7;2;34.05;R1;F2;M1
ID_150456;1;2;115.095;R3;F2;M3
ID_150547;4;4;35.24;R2;F3;M1
ID_150632;1;3;118.36;R3;F2;M3
ID_150762;2;1;140.1;R3;F1;M3
ID_150818;9;2;30.24;R1;F2;M1
ID_151045;1;4;257.23;R3;F3;M3
ID_151176;1;4;109.095;R3;F3;M3
ID_151188;5;1;43.49;R2;F1;M1
ID_151204;1;1;45.5;R3;F1;M1
ID_151286;1;5;349.308;R3;F3;M3
ID_151442;1;5;115.17;R3;F3;M3
ID_151592;1;5;231.632;R3;F3;M3
ID_151597;4;3;71.66;R2;F2;M2
ID_152014;2;5;46.178;R3;F3;M1
ID_152041;1;2;63.6;R3;F2;M2
ID_152069;1;4;58.99;R3;F3;M2
ID_152222;4;9;331.81875;R2;F3;M3
ID_152258;11;1;43.99;R1;F1;M1
ID_152326;2;5;123.514;R3;F3;M3
ID_152477;2;1;40;R3;F1;M1
ID_152557;4;4;87.7475;R2;F3;M2
ID_152822;2;2;18.545;R3;F2;M1
ID_152923;1;4;67.5225;R3;F3;M2
ID_152953;2;4;58.045;R3;F3;M2
ID_153023;1;2;55.565;R3;F2;M2
ID_153120;1;6;398.56333333;R3;F3;M3
ID_153889;11;1;15.99;R1;F1;M1
ID_153953;3;2;86.49;R2;F2;M2
ID_153996;4;2;488.745;R2;F2;M3
ID_154044;4;2;114.745;R2;F2;M3
ID_154138;4;4;156.8975;R2;F3;M3
ID_154164;4;5;118.292;R2;F3;M3
ID_154167;1;7;138.63428571;R3;F3;M3
ID_154181;4;2;44.495;R2;F2;M1
ID_154358;2;1;33.8;R3;F1;M1
ID_154473;4;2;62.85;R2;F2;M2
ID_154613;2;6;28.233333333;R3;F3;M1
ID_154744;6;4;41.2;R2;F3;M1
ID_154784;4;1;84.8;R2;F1;M2
ID_154963;4;2;386.995;R2;F2;M3
ID_155056;4;2;382.995;R2;F2;M3
ID_155312;12;1;44.2;R1;F1;M1
ID_155377;1;3;55.14;R3;F2;M2
ID_155500;11;1;31.49;R1;F1;M1
ID_155563;12;3;74.96;R1;F2;M2
ID_155574;2;1;69;R3;F1;M2
ID_155678;10;1;60.49;R1;F1;M2
ID_155708;4;2;45.5;R2;F2;M1
ID_155729;1;6;29.608333333;R3;F3;M1
ID_155844;2;2;23.195;R3;F2;M1
ID_156060;9;1;327;R1;F1;M3
ID_156112;2;2;38.095;R3;F2;M1
ID_156432;4;4;48.3675;R2;F3;M1
ID_156441;3;3;78.363333333;R2;F2;M2
ID_156459;2;2;70.895;R3;F2;M2
ID_156585;1;1;43.1;R3;F1;M1
ID_156615;2;1;33.8;R3;F1;M1
ID_156655;3;1;36.8;R2;F1;M1
ID_156700;7;1;52.99;R1;F1;M2
ID_156720;5;4;96.995;R2;F3;M2
ID_156830;3;1;36.3;R2;F1;M1
ID_156865;1;4;88.2425;R3;F3;M2
ID_156867;3;1;24.49;R2;F1;M1
ID_156875;1;2;106.24;R3;F2;M3
ID_157921;4;1;18.49;R2;F1;M1
ID_158124;9;1;43.99;R1;F1;M1
ID_158149;1;1;32.99;R3;F1;M1
ID_158230;5;2;66.74;R2;F2;M2
ID_158268;2;5;134.392;R3;F3;M3
ID_158284;4;2;59.345;R2;F2;M2
ID_158411;1;1;76.8;R3;F1;M2
ID_158493;4;5;71.792;R2;F3;M2
ID_158600;6;2;92.99;R2;F2;M2
ID_158619;4;2;81.595;R2;F2;M2
ID_158674;2;5;172.555;R3;F3;M3
ID_158809;5;1;78.49;R2;F1;M2
ID_158983;9;1;18.99;R1;F1;M1
ID_159207;4;7;440.35428571;R2;F3;M3
ID_159211;4;2;31.245;R2;F2;M1
ID_159673;3;2;48.3;R2;F2;M1
ID_160003;6;2;40.545;R2;F2;M1
ID_160205;2;1;20.2;R3;F1;M1
ID_160323;1;6;65.578333333;R3;F3;M2
ID_160359;3;1;106.49;R2;F1;M3
ID_160646;7;2;66.8;R1;F2;M2
ID_160658;6;5;64.27;R2;F3;M2
ID_160826;4;2;41.615;R2;F2;M1
ID_161031;4;1;;R2;F1;M1
ID_161052;11;2;139;R1;F2;M3
ID_161099;1;15;127.66933333;R3;F3;M3
ID_161231;2;3;163.99;R3;F2;M3
ID_161377;2;8;52.52;R3;F3;M2
ID_161910;11;1;29.7;R1;F1;M1
ID_162048;4;2;143.1;R2;F2;M3
ID_162078;1;10;63.703;R3;F3;M2
ID_162891;9;3;68.826666667;R1;F2;M2
ID_162937;4;3;161.49333333;R2;F2;M3
ID_162939;1;2;47.99;R3;F2;M1
ID_162995;1;2;28.8;R3;F2;M1
ID_163000;3;1;19.7;R2;F1;M1
ID_163017;1;16;45.67125;R3;F3;M1
ID_163059;6;1;63;R2;F1;M2
ID_163161;5;1;114.99;R2;F1;M3
ID_163375;7;3;372.29;R1;F2;M3
ID_163381;1;1;28.99;R3;F1;M1
ID_163420;2;2;50.04;R3;F2;M2
ID_163443;2;3;102.16;R3;F2;M3
ID_163484;6;1;62.99;R2;F1;M2
ID_163720;4;1;175.5;R2;F1;M3
ID_163746;2;1;246;R3;F1;M3
ID_163954;1;5;187.79;R3;F3;M3
ID_164069;6;1;10.59;R2;F1;M1
ID_164090;6;1;12.2;R2;F1;M1
ID_164105;6;3;126.82333333;R2;F2;M3
ID_164348;3;3;95.396666667;R2;F2;M2
ID_164364;5;1;;R2;F1;M1
ID_164446;3;3;214.24333333;R2;F2;M3
ID_164645;1;3;254.33;R3;F2;M3
ID_164663;1;2;71.345;R3;F2;M2
ID_164687;1;5;37.372;R3;F3;M1
ID_164727;3;2;24.49;R2;F2;M1
ID_164968;7;1;100.99;R1;F1;M3
ID_164984;1;2;25.74;R3;F2;M1
ID_165202;2;1;298.89;R3;F1;M3
ID_165405;2;4;30.1675;R3;F3;M1
ID_165648;1;6;131.56;R3;F3;M3
ID_165908;3;3;27.426666667;R2;F2;M1
ID_166007;9;1;20.2;R1;F1;M1
ID_166090;1;3;24.13;R3;F2;M1
ID_166378;1;5;54.378;R3;F3;M2
ID_166463;12;1;50.2;R1;F1;M2
ID_166495;2;5;79.138;R3;F3;M2
ID_166652;12;1;60.49;R1;F1;M2
ID_166707;10;6;465.57333333;R1;F3;M3
ID_167199;1;5;318.9;R3;F3;M3
ID_167216;6;2;36.85;R2;F2;M1
ID_167320;1;7;194.07857143;R3;F3;M3
ID_167770;2;1;78;R3;F1;M2
ID_167801;12;1;130.99;R1;F1;M3
ID_168269;7;4;94.495;R1;F3;M2
ID_168441;9;1;59.99;R1;F1;M2
ID_168597;12;1;42.2;R1;F1;M1
ID_168621;5;1;127.49;R2;F1;M3
ID_168713;4;3;113.16;R2;F2;M3
ID_168766;1;3;105.86666667;R3;F2;M3
ID_168868;2;3;73.433333333;R3;F2;M2
